"product_id","product_name","category","unit_price","unit_cost"
"P0001","Wireless Earbuds","Electronics","6209","3100.26"
"P0002","Smartphone","Electronics","2790","1765.98"
"P0003","Bluetooth Speaker","Electronics","3061","1658.78"
"P0004","Laptop Backpack","Electronics","6563","4131.56"
"P0005","Smartwatch","Electronics","3094","2216.66"
"P0006","Power Bank","Electronics","3477","1877.80"
"P0007","Running Shoes","Fashion","1764","991.51"
"P0008","Denim Jacket","Fashion","1452","785.66"
"P0009","Cotton T-Shirt","Fashion","1793","829.01"
"P0010","Analog Watch","Fashion","2535","1652.87"
"P0011","Sunglasses","Fashion","1493","751.38"
"P0012","Casual Shirt","Fashion","725","505.18"
"P0013","Mixer Grinder","Home","3991","2550.21"
"P0014","Vacuum Cleaner","Home","594","415.15"
"P0015","Water Bottle","Home","1050","805.53"
"P0016","Bedsheet Set","Home","3447","2174.18"
"P0017","Desk Lamp","Home","1220","566.72"
"P0018","Storage Box","Home","1756","1148.61"
"P0019","Face Serum","Beauty","1686","761.03"
"P0020","Hair Dryer","Beauty","1187","868.66"
"P0021","Perfume","Beauty","1559","911.39"
"P0022","Lipstick","Beauty","510","234.20"
"P0023","Body Lotion","Beauty","339","245.29"
"P0024","Beard Trimmer","Beauty","1346","659.96"
"P0025","Yoga Mat","Sports","1209","870.90"
"P0026","Dumbbell Set","Sports","1333","902.24"
"P0027","Cricket Bat","Sports","878","408.77"
"P0028","Football","Sports","2316","1460.40"
"P0029","Tennis Racket","Sports","588","351.11"
"P0030","Cycling Gloves","Sports","2634","1764.68"
